,real_gdp,potential_gdp,gdp_deflator,pce_nondurables,pce_services,fed_funds,tbill_3m,log_real_gdp,log_potential_gdp,output_gap,inflation,real_consumption
2007-03-31,16611.69,16413.08416,85.576,2437.4,7789.0,5.256666666666667,4.983333333333333,9.717861943367756,9.705834110361511,0.012027833006245103,0.009463163383514939,9.232727890853813
2007-06-30,16713.314,16492.813130000002,86.171,2433.6,7818.2,5.25,4.736666666666667,9.723960926282437,9.710679997122641,0.013280929159796173,0.006928824147435009,9.235208578905063
2007-09-30,16809.587,16575.36122,86.642,2435.4,7870.4,5.073333333333333,4.303333333333334,9.729704657391745,9.715672607878439,0.014032049513305722,0.005450992300892743,9.240462122528704
2007-12-31,16915.191,16658.2616,86.993,2440.3,7913.7,4.496666666666667,3.39,9.73596737290394,9.720661564538144,0.015305808365795315,0.004042969195250379,9.245128197461847
2008-03-31,16843.003,16741.83551,87.315,2423.2,7961.7,3.1766666666666663,2.0433333333333334,9.731690597313907,9.725665986180696,0.0060246111332116214,0.003694613744401387,9.24810810699086
2008-06-30,16943.291,16824.00846,87.738,2414.7,7997.6,2.0866666666666664,1.6266666666666667,9.737627223245223,9.730562220235477,0.007065003009746107,0.004832831465988008,9.250743078607554
2008-09-30,16854.295,16903.75132,88.399,2354.7,7988.9,1.9400000000000002,1.4933333333333332,9.73236079944244,9.735290847876747,-0.002930048434308219,0.007505556504622923,9.244123249943751
2008-12-31,16485.35,16979.72738,88.613,2350.2,7986.3,0.5066666666666667,0.2966666666666667,9.710227386702954,9.739775404377204,-0.02954801767424975,0.0024179163475848142,9.243436599465372
2009-03-31,16298.262,17050.23362,88.543,2345.0,7956.8,0.18333333333333335,0.21333333333333335,9.698813755343052,9.743919184670576,-0.04510542932752415,-0.0007902639892867214,9.240073916231006
2009-06-30,16269.145,17116.47772,88.396,2339.2,7931.3,0.18000000000000002,0.17333333333333334,9.697025648125424,9.747796887874015,-0.05077123974859177,-0.0016615899696592606,9.237030987229227
2009-09-30,16326.281,17178.970269999998,88.501,2359.1,7949.7,0.15666666666666665,0.15666666666666665,9.700531419672563,9.751441256023632,-0.05090983635106916,0.0011871316340155147,9.240753178384377
2009-12-31,16502.754,17239.53132,88.781,2364.9,7980.6,0.12,0.05666666666666667,9.711282555051808,9.7549603582333,-0.043677803181491726,0.0031588117555321205,9.244306921539456
2010-03-31,16582.71,17300.29215,89.036,2378.9,8001.2,0.13333333333333333,0.10666666666666667,9.716115865272487,9.75847866762652,-0.04236280235403278,0.002868119187757756,9.247645790584842
2010-06-30,16743.162,17362.17218,89.471,2391.2,8067.4,0.19333333333333336,0.14666666666666667,9.725745215095095,9.762049105962825,-0.036303890867730004,0.004873768099494136,9.255179885448875
2010-09-30,16872.266,17426.505869999997,89.743,2407.5,8102.6,0.18666666666666668,0.15666666666666665,9.733426487800099,9.765747651980806,-0.03232116418070774,0.0030354794698368437,9.260091978573591
2010-12-31,16960.864,17492.53719,90.264,2415.9,8138.1,0.18666666666666668,0.1366666666666667,9.73866385144455,9.769529622671815,-0.030865771227265526,0.005788679938450336,9.264260213965613
2011-03-31,16920.632,17560.4955,90.726,2422.1,8165.9,0.15666666666666668,0.12666666666666668,9.7362889847085,9.773407084330863,-0.03711809962236323,0.0051052655224417265,9.267476563346992
2011-06-30,17035.114,17630.45708,91.326,2427.2,8186.5,0.09333333333333334,0.04666666666666667,9.743032022177166,9.777383201317889,-0.03435117914072272,0.00659154716699728,9.269900898432144
2011-09-30,17031.313,17702.57186,91.876,2408.7,8205.9,0.08333333333333333,0.023333333333333334,9.742808869921381,9.781465210831346,-0.038656340909964726,0.006004319301923466,9.269985690902622
2011-12-31,17222.583,17776.28839,91.985,2406.7,8197.6,0.07333333333333335,0.013333333333333334,9.753976766732846,9.785620735307667,-0.0316439685748211,0.0011856784502386475,9.269014858219592
